runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,repeats2.thisRepN,repeats2.thisTrialN,repeats2.thisN,repeats2.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,fix_resp_2.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,29.823681784999962,None,j,1,0.653853191999815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,f,1,0.795499947000053,None,1,38.09022728199989,None,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,0,j,1,0.8277955969999766,None,1,45.407693249999966,None,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,1,j,1,1.4804010759999073,space,1,52.741304995999826,None,1.116831671,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,1,f,1,1.755537332999893,space,1,60.20801342499999,None,1.9819601860001512,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,0,None,0,,None,1,67.69326479899996,None,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,0,f,1,1.4087758220000524,None,1,75.424584417,None,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,0,80.17431132399997,None,None,1,80.17431132399997,None,81.5082797,None,81.5082797,None,f,1,0.9137338030000137,81.5082797,None,None,81.5082797,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,0,82.44125412099993,None,None,1,82.44125412099993,None,84.12474955399989,None,84.12474955399989,None,f,1,3.2381919500001004,84.12474955399989,None,None,84.12474955399989,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,0,87.39116063899996,None,None,1,87.39116063899996,None,88.84167697499993,None,88.84167697499993,None,f,1,0.19516051899995546,88.84167697499993,None,None,88.84167697499993,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,0,89.05836856199994,None,None,1,89.05836856199994,None,90.6749590139998,None,90.6749590139998,None,f,0,0.4618261870000424,90.6749590139998,None,None,90.6749590139998,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,0,91.15798652299986,None,None,1,91.15798652299986,None,92.84170097799984,None,92.84170097799984,None,f,0,0.26650336900002003,92.84170097799984,None,None,92.84170097799984,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,0,93.12503912899979,None,None,1,93.12503912899979,None,94.54170982299979,None,94.54170982299979,None,f,0,0.041881783999997424,94.54170982299979,None,None,94.54170982299979,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,0,94.60834150899996,None,None,1,94.60834150899996,None,96.27500999799986,None,96.27500999799986,None,f,1,0.39822126600006413,96.27500999799986,None,None,96.27500999799986,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,0,96.69174996799984,None,None,1,96.69174996799984,None,98.0250654429999,None,98.0250654429999,None,f,1,0.04750678000004882,98.0250654429999,None,None,98.0250654429999,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,1,0,8,3,,,,,,,,,,,,,,,,,,,,,0,98.09178743999996,None,None,1,98.09178743999996,None,99.60840155399978,None,99.60840155399978,None,f,0,0.261471808999886,99.60840155399978,None,None,99.60840155399978,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,1,1,9,3,,,,,,,,,,,,,,,,,,,,,0,99.8915987009998,None,None,1,99.8915987009998,None,101.60830514999998,None,101.60830514999998,None,f,0,0.23760352800013607,101.60830514999998,None,None,101.60830514999998,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,1,2,10,6,,,,,,,,,,,,,,,,,,,,,0,101.8746834489998,None,None,1,101.8746834489998,None,103.57507491899992,None,103.57507491899992,None,f,0,0.11860845399996833,103.57507491899992,None,None,103.57507491899992,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,1,3,11,7,,,,,,,,,,,,,,,,,,,,,0,103.72515419199999,None,None,1,103.72515419199999,None,105.14176102499982,None,105.14176102499982,None,f,0,0.2405826850001631,105.14176102499982,None,None,105.14176102499982,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,1,4,12,6,,,,,,,,,,,,,,,,,,,,,0,105.40839685599985,None,None,1,105.40839685599985,None,107.07509616799985,None,107.07509616799985,None,f,0,0.09238649100007024,107.07509616799985,None,None,107.07509616799985,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,1,5,13,7,,,,,,,,,,,,,,,,,,,,,0,107.19175705099997,None,None,1,107.19175705099997,None,108.67509863799978,None,108.67509863799978,None,f,0,0.13878650900005596,108.67509863799978,None,None,108.67509863799978,None,,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,1,6,14,6,,,,,,,,,,,,,,,,,,,,,1,108.84149675399999,None,space,1,108.84149675399999,None,110.14163721699992,None,110.14163721699992,None,f,0,0.19164861399985966,110.14163721699992,None,None,110.14163721699992,None,0.623309860000063,,,1,2,2021_Jan_13_1336,global_local,2020.2.4,None,
