runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,fix_resp_2.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,1,131.72515092417598,None,space,1,131.72515092417598,None,133.10882584098727,None,133.10882584098727,None,j,1,0.8343931613489985,133.10882584098727,None,None,133.10882584098727,None,0.7815217729657888,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,1,133.9588358332403,None,space,1,133.9588358332403,None,135.6753018712625,None,135.6753018712625,None,j,1,0.6944198398850858,135.6753018712625,None,None,135.6753018712625,None,0.607563226018101,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,0,136.3917987709865,None,None,1,136.3917987709865,None,137.70852022990584,None,137.70852022990584,None,f,1,0.6295531750656664,137.70852022990584,None,None,137.70852022990584,None,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,0,138.35819943482056,None,None,1,138.35819943482056,None,140.09187401505187,None,140.09187401505187,None,j,1,0.6164243561215699,140.09187401505187,None,None,140.09187401505187,None,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,0,7,7,4,,,,,,,,,,,,,,,,,0,140.725373046007,None,None,1,140.725373046007,None,142.07525256089866,None,142.07525256089866,None,f,1,0.8498923829756677,142.07525256089866,None,None,142.07525256089866,None,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,1,0,8,3,,,,,,,,,,,,,,,,,0,142.94231949886307,None,None,1,142.94231949886307,None,144.2752879508771,None,144.2752879508771,None,j,1,0.6887801350094378,144.2752879508771,None,None,144.2752879508771,None,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,1,1,9,1,,,,,,,,,,,,,,,,,0,144.99196627223864,None,None,1,144.99196627223864,None,146.7089777062647,None,146.7089777062647,None,f,1,0.8207228067331016,146.7089777062647,None,None,146.7089777062647,None,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,1,2,10,7,,,,,,,,,,,,,,,,,0,147.5585064892657,None,None,1,147.5585064892657,None,149.1752501069568,None,149.1752501069568,None,j,1,0.5977371926419437,149.1752501069568,None,None,149.1752501069568,None,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,1,3,11,3,,,,,,,,,,,,,,,,,1,149.79184299195185,None,space,1,149.79184299195185,None,151.22523510316387,None,151.22523510316387,None,j,1,0.5519056892953813,151.22523510316387,None,None,151.22523510316387,None,0.6381349130533636,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,1,4,12,7,,,,,,,,,,,,,,,,,0,151.7918962952681,None,None,1,151.7918962952681,None,153.45866031199694,None,153.45866031199694,None,j,1,0.5867503075860441,153.45866031199694,None,None,153.45866031199694,None,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,1,5,13,3,,,,,,,,,,,,,,,,,0,154.0756756560877,None,None,1,154.0756756560877,None,155.67546493420377,None,155.67546493420377,None,j,1,0.7499743113294244,155.67546493420377,None,None,155.67546493420377,None,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,1,6,14,6,,,,,,,,,,,,,,,,,0,156.4423640430905,None,None,1,156.4423640430905,None,157.87548849498853,None,157.87548849498853,None,j,1,0.8953381013125181,157.87548849498853,None,None,157.87548849498853,None,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,1,7,15,4,,,,,,,,,,,,,,,,,0,158.79202374396846,None,None,1,158.79202374396846,None,160.50859527895227,None,160.50859527895227,None,f,1,0.7777605741284788,160.50859527895227,None,None,160.50859527895227,None,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,2,0,16,6,,,,,,,,,,,,,,,,,1,161.3080107648857,None,space,1,161.3080107648857,None,162.97574440483004,None,162.97574440483004,None,j,1,0.5565615319646895,162.97574440483004,None,None,162.97574440483004,None,0.5264991382136941,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,2,1,17,0,,,,,,,,,,,,,,,,,1,163.5590193560347,None,None,0,163.5590193560347,None,164.9424352478236,None,164.9424352478236,None,f,1,0.6192602086812258,164.9424352478236,None,space,164.9424352478236,None,,0.16507846117019653,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,2,2,18,2,,,,,,,,,,,,,,,,,0,165.59213802218437,None,None,1,165.59213802218437,None,167.15864426083863,None,167.15864426083863,None,j,1,1.2400958756916225,167.15864426083863,None,None,167.15864426083863,None,,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,2,3,19,7,,,,,,,,,,,,,,,,,1,168.42527848202735,None,space,1,168.42527848202735,None,169.87530239997432,None,169.87530239997432,None,j,1,0.7127353949472308,169.87530239997432,None,None,169.87530239997432,None,0.8721472569741309,,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,2,4,20,4,,,,,,,,,,,,,,,,,1,170.60869372822344,None,None,0,170.60869372822344,None,171.99219144508243,None,171.99219144508243,None,f,1,0.7191000957973301,171.99219144508243,None,space,171.99219144508243,None,,0.3265413520857692,,1,2,2020_Dec_29_0934,global_local,2020.2.4,None,
