X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fixR1,fix_resp1_1.keys,fix_resp1_1.corr,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp1_1.rt,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fix_respP2_1.rt,key_resp_10.keys,key_resp_10.rt,repeats2.thisRepN,repeats2.thisTrialN,repeats2.thisN,repeats2.thisIndex,repeats2.ran,fixR2,fix_resp2_1.keys,fix_resp2_1.corr,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,fix_resp2_1.rt,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run3.ran,fix_resp_2.rt,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,trials_run4.ran
,,,,,,,,,,,,,,,,2,5,smallScongr,Stimuli/SofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,0.78668,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,6,6,2,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,3,smallHincon,Stimuli/SofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,0.87126,,,,,,,,,,,,,,,,,,,,,,,1,space,1,0,7,7,1,1,0.70349,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,5,smallScongr,Stimuli/SofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,1.18327,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,0,8,2,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,3,smallHincon,Stimuli/SofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,0.901745,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,9,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,7,smallSincon,Stimuli/HofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,0.916735,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,2,10,3,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,4,smallHincon,Stimuli/SofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,0.733305,,,,,,,,,,,,,,,,,,,,,,,1,space,1,1,3,11,5,1,0.616235,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,2,smallHcongr,Stimuli/HofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,1.14835,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,4,12,4,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,0.832285,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,5,13,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,8,smallSincon,Stimuli/HofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,0.75288,,,,,,,,,,,,,,,,,,,,,,,1,space,1,1,6,14,7,1,0.649345,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,6,smallScongr,Stimuli/SofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,0.88204,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,7,15,6,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,4,smallHincon,Stimuli/SofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,0.882575,,,,,,,,,,,,,,,,,,,,,,,0,,1,2,0,16,5,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,7,smallSincon,Stimuli/HofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,0.91631,,,,,,,,,,,,,,,,,,,,,,,0,,1,2,1,17,3,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,8,smallSincon,Stimuli/HofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,1.26613,,,,,,,,,,,,,,,,,,,,,,,0,,1,2,2,18,7,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,2,smallHcongr,Stimuli/HofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,0.65405,,,,,,,,,,,,,,,,,,,,,,,0,,1,2,3,19,4,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,3,smallHincon,Stimuli/SofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,0.69897,,,,,,,,,,,,,,,,,,,,,,,0,,1,2,4,20,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,6,smallScongr,Stimuli/SofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,0.96409,,,,,,,,,,,,,,,,,,,,,,,0,,1,2,5,21,6,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,5,smallScongr,Stimuli/SofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,0.799785,,,,,,,,,,,,,,,,,,,,,,,1,space,1,2,6,22,2,1,0.649595,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,1.466705,,,,,,,,,,,,,,,,,,,,,,,1,space,1,2,7,23,0,1,0.632975,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,6,smallScongr,Stimuli/SofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,0.78377,,,,,,,,,,,,,,,,,,,,,,,1,space,1,3,0,24,6,1,0.567795,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,7,smallSincon,Stimuli/HofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,0.84843,,,,,,,,,,,,,,,,,,,,,,,0,,1,3,1,25,3,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,4,smallHincon,Stimuli/SofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,0.73384,,,,,,,,,,,,,,,,,,,,,,,1,space,1,3,2,26,5,1,0.63328,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,5,smallScongr,Stimuli/SofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,0.86694,,,,,,,,,,,,,,,,,,,,,,,0,,1,3,3,27,2,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,2,smallHcongr,Stimuli/HofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,0.83776,,,,,,,,,,,,,,,,,,,,,,,0,,1,3,4,28,4,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,3,smallHincon,Stimuli/SofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,1.85423,,,,,,,,,,,,,,,,,,,,,,,0,,1,3,5,29,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,8,smallSincon,Stimuli/HofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,j,1,0.916735,,,,,,,,,,,,,,,,,,,,,,,0,,1,3,6,30,7,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,1,smallHcongr,Stimuli/HofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,0.934675,,,,,,,,,,,,,,,,,,,,,,,1,space,1,3,7,31,0,1,0.585875,,,,,,,,,,,
,,,,,,,,,,,,,,,,2,3,smallHincon,Stimuli/SofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,f,1,0.76534,,,,,,,,,,,,,,,,,,,,,,,0,,1,4,0,32,1,1,,,,,,,,,,,,
