runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,image_4.started,image_4.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,2,2,18,2,,,,,,,,,,,,,,,,,0,179.16663529537618,None,None,179.16663529537618,None,180.516827410087,None,180.516827410087,None,j,1,0.9670475833117962,180.516827410087,None,None,180.516827410087,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,2,3,19,6,,,,,,,,,,,,,,,,,0,181.50015660235658,None,None,181.50015660235658,None,182.89999560127035,None,182.89999560127035,None,j,1,0.9293670658953488,182.89999560127035,None,None,182.89999560127035,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,2,4,20,3,,,,,,,,,,,,,,,,,0,183.85025278897956,None,None,183.85025278897956,None,185.4499777900055,None,185.4499777900055,None,f,0,0.7172070601955056,185.4499777900055,None,None,185.4499777900055,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,2,5,21,0,,,,,,,,,,,,,,,,,1,186.20001500705257,None,space,186.20001500705257,None,187.73331929696724,None,187.73331929696724,None,f,1,0.7664511068724096,187.73331929696724,None,None,187.73331929696724,None,0.6451677628792822,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,2,6,22,7,,,,,,,,,,,,,,,,,0,188.51667269924656,None,None,188.51667269924656,None,189.83344212919474,None,189.83344212919474,None,j,1,0.6557768960483372,189.83344212919474,None,None,189.83344212919474,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,2,7,23,4,,,,,,,,,,,,,,,,,0,190.51702934829518,None,None,190.51702934829518,None,191.80030560400337,None,191.80030560400337,None,f,1,0.8172918627969921,191.80030560400337,None,None,191.80030560400337,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,3,0,24,3,,,,,,,,,,,,,,,,,0,192.65009766537696,None,None,192.65009766537696,None,194.13355163717642,None,194.13355163717642,None,j,1,0.5559349753893912,194.13355163717642,None,None,194.13355163717642,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,3,1,25,4,,,,,,,,,,,,,,,,,0,194.71670680632815,None,None,194.71670680632815,None,196.20023962529376,None,196.20023962529376,None,f,1,0.8376073087565601,196.20023962529376,None,None,196.20023962529376,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,3,2,26,6,,,,,,,,,,,,,,,,,1,197.06678771832958,None,space,197.06678771832958,None,198.68342088535428,None,198.68342088535428,None,j,1,0.887833409011364,198.68342088535428,None,None,198.68342088535428,None,0.5631711082533002,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,3,3,27,7,,,,,,,,,,,,,,,,,0,199.6001374903135,None,None,199.6001374903135,None,201.20015559205785,None,201.20015559205785,None,j,1,0.6183090810663998,201.20015559205785,None,None,201.20015559205785,None,,,,,1,2,2020_Dec_28_1027,global_local,2020.2.4,None,
