runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,repeats2.thisRepN,repeats2.thisTrialN,repeats2.thisN,repeats2.thisIndex,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_resp.rt,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,image_4.started,image_4.stopped,fixpR2,fix_respP2_1.keys,participant,design,position,date,expName,psychopyVersion,frameRate,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,3,7,31,5,,,,,,,,,,,,,,,,,,,,,,,,,0,284.9808507380076,None,None,284.9808507380076,None,286.56425471697,None,286.56425471697,None,f,1,0.7431073421612382,286.56425471697,None,None,286.56425471697,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,4,0,32,1,,,,,,,,,,,,,,,,,,,,,,,,,0,287.330715355929,None,None,287.330715355929,None,289.04748399788514,None,289.04748399788514,None,f,1,1.2499979296699166,289.04748399788514,None,None,289.04748399788514,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,4,1,33,6,,,,,,,,,,,,,,,,,,,,,,,,,0,290.3140709316358,None,None,290.3140709316358,None,291.9809416308999,None,291.9809416308999,None,j,1,0.5631979140453041,291.9809416308999,None,None,291.9809416308999,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,4,2,34,3,,,,,,,,,,,,,,,,,,,,,,,,,0,292.5641551236622,None,None,292.5641551236622,None,294.24752632994205,None,294.24752632994205,None,j,1,0.5463726939633489,294.24752632994205,None,None,294.24752632994205,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,4,3,35,3,,,,,,,,,,,,,,,,,,,,,,,,,1,294.8141432739794,None,space,294.8141432739794,None,296.23071485804394,None,296.23071485804394,None,j,1,0.9507922101765871,296.23071485804394,None,None,296.23071485804394,None,0.7430636137723923,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,4,4,36,6,,,,,,,,,,,,,,,,,,,,,,,,,0,297.2142838658765,None,None,297.2142838658765,None,298.9309738278389,None,298.9309738278389,None,j,1,1.0833019223064184,298.9309738278389,None,None,298.9309738278389,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,4,5,37,6,,,,,,,,,,,,,,,,,,,,,,,,,0,300.04754483886063,None,None,300.04754483886063,None,301.49761619465426,None,301.49761619465426,None,j,1,0.6933991950936615,301.49761619465426,None,None,301.49761619465426,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,4,6,38,7,,,,,,,,,,,,,,,,,,,,,,,,,1,302.2143092160113,None,space,302.2143092160113,None,303.5976372458972,None,303.5976372458972,None,j,1,0.7134081688709557,303.5976372458972,None,None,303.5976372458972,None,0.7549508451484144,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,4,7,39,4,,,,,,,,,,,,,,,,,,,,,,,,,1,304.33085371600464,None,space,304.33085371600464,None,305.63100379984826,None,305.63100379984826,None,f,1,0.6611674539744854,305.63100379984826,None,None,305.63100379984826,None,0.6851089620031416,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,5,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,0,306.3143094708212,None,None,306.3143094708212,None,307.8976440397091,None,307.8976440397091,None,f,1,0.5665472340770066,307.8976440397091,None,None,307.8976440397091,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,5,1,41,1,,,,,,,,,,,,,,,,,,,,,,,,,0,308.48106603790075,None,None,308.48106603790075,None,309.98086988087744,None,309.98086988087744,None,f,1,0.6942313499748707,309.98086988087744,None,None,309.98086988087744,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,5,2,42,5,,,,,,,,,,,,,,,,,,,,,,,,,0,310.69771142397076,None,None,310.69771142397076,None,312.38102605892345,None,312.38102605892345,None,f,1,0.6570042199455202,312.38102605892345,None,None,312.38102605892345,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,5,3,43,0,,,,,,,,,,,,,,,,,,,,,,,,,1,313.0643270886503,None,space,313.0643270886503,None,314.56443283567205,None,314.56443283567205,None,f,1,0.7121197949163616,314.56443283567205,None,None,314.56443283567205,None,0.5025814138352871,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,5,4,44,3,,,,,,,,,,,,,,,,,,,,,,,,,0,315.2977384617552,None,None,315.2977384617552,None,316.78106223093346,None,316.78106223093346,None,j,1,0.5373909040354192,316.78106223093346,None,None,316.78106223093346,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,5,5,45,3,,,,,,,,,,,,,,,,,,,,,,,,,1,317.34754856396466,None,space,317.34754856396466,None,318.7310369820334,None,318.7310369820334,None,j,1,0.8282216480001807,318.7310369820334,None,None,318.7310369820334,None,0.5061739911325276,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,5,6,46,7,,,,,,,,,,,,,,,,,,,,,,,,,0,319.5809829970822,None,None,319.5809829970822,None,321.0475364527665,None,321.0475364527665,None,j,1,0.6038414458744228,321.0475364527665,None,None,321.0475364527665,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,5,7,47,2,,,,,,,,,,,,,,,,,,,,,,,,,0,321.6810459829867,None,None,321.6810459829867,None,323.3810563799925,None,323.3810563799925,None,j,1,0.9773018076084554,323.3810563799925,None,None,323.3810563799925,None,,,,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.5476328120567,None,f,0,1.4649760159663856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.3807801059447,None,,,,1,2,2020_Dec_21_1611,global_local,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,None,1,,,0.8468618947081268,,,,,,,,,,,,,,,,,,,,,,,0,None,,,,,,,,
