runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0.05,0.05,27.39715598663315,None,j,1,1.003684506751597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,j,1,1.0067690429277718,None,1,41.63231177581474,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,0,0,0,0,0,1,1,5,,,,,,,,,,,,0,None,0,,None,1,48.91580393258482,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,0,0,0,0,0,2,2,4,,,,,,,,,,,,0,None,0,,None,1,56.41414630180225,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,0,0,0,0,0,3,3,3,,,,,,,,,,,,1,f,1,1.1351362341083586,space,1,63.67999373190105,None,0.8862037449143827,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,0,0,0,0,0,4,4,1,,,,,,,,,,,,1,f,1,2.0282859071157873,None,0,71.08047430589795,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,0,0,0,0,0,5,5,2,,,,,,,,,,,,0,j,1,1.166510274168104,None,1,78.78083477495238,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,1,0,1,0,0,0,0,4,,,,,,,,,,,,0,f,1,0.7478763191029429,None,1,90.09716436779127,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,1,0,1,0,0,1,1,2,,,,,,,,,,,,0,j,1,0.7907165819779038,space,0,97.71611638274044,None,-0.3412433611229062,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,1,0,1,0,0,2,2,1,,,,,,,,,,,,0,j,1,0.6078517306596041,None,1,105.2139478768222,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Dec_28_2050,global_local,2020.2.4,None,
