runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,fix_resp_2.rt,image_4.started,image_4.stopped,text_10.started,text_10.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,2,3,19,4,,,,,,,,,,,,,,,,,1,302.7418059380725,None,space,1,302.7418059380725,None,304.20799853187054,None,304.20799853187054,None,f,1,0.9151009111665189,304.20799853187054,None,None,304.20799853187054,None,0.8294350835494697,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,2,4,20,7,,,,,,,,,,,,,,,,,1,305.14164710091427,None,space,1,305.14164710091427,None,306.4248205688782,None,306.4248205688782,None,j,1,0.7083220779895782,306.4248205688782,None,None,306.4248205688782,None,0.7849093293771148,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,2,5,21,0,,,,,,,,,,,,,,,,,1,307.1580741899088,None,space,1,307.1580741899088,None,308.79141980269924,None,308.79141980269924,None,f,1,0.8449876112863421,308.79141980269924,None,None,308.79141980269924,None,0.9361009080894291,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,2,6,22,3,,,,,,,,,,,,,,,,,0,309.65804193075746,None,None,1,309.65804193075746,None,311.3244544719346,None,311.3244544719346,None,j,1,0.5635277270339429,311.3244544719346,None,None,311.3244544719346,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,2,7,23,3,,,,,,,,,,,,,,,,,0,311.9073851830326,None,None,1,311.9073851830326,None,313.5249888189137,None,313.5249888189137,None,j,1,0.7304112571291625,313.5249888189137,None,None,313.5249888189137,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,3,0,24,4,,,,,,,,,,,,,,,,,0,314.2748114117421,None,None,1,314.2748114117421,None,315.84136991389096,None,315.84136991389096,None,f,1,0.6424500560387969,315.84136991389096,None,None,315.84136991389096,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,3,1,25,1,,,,,,,,,,,,,,,,,0,316.5082120359875,None,None,1,316.5082120359875,None,318.20815268997103,None,318.20815268997103,None,f,1,0.85644854279235,318.20815268997103,None,None,318.20815268997103,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,3,2,26,1,,,,,,,,,,,,,,,,,0,319.09148682281375,None,None,1,319.09148682281375,None,320.3575894208625,None,320.3575894208625,None,f,1,0.7099646390415728,320.3575894208625,None,None,320.3575894208625,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,3,3,27,5,,,,,,,,,,,,,,,,,0,321.0915819257498,None,None,1,321.0915819257498,None,322.52486775582656,None,322.52486775582656,None,f,1,0.4883375302888453,322.52486775582656,None,None,322.52486775582656,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,3,4,28,0,,,,,,,,,,,,,,,,,1,323.04167425679043,None,space,1,323.04167425679043,None,324.4248189236969,None,324.4248189236969,None,f,1,0.9372504218481481,324.4248189236969,None,None,324.4248189236969,None,0.5273572127334774,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,3,5,29,1,,,,,,,,,,,,,,,,,0,325.39176151296124,None,None,1,325.39176151296124,None,326.97519170306623,None,326.97519170306623,None,f,1,0.6455105780623853,326.97519170306623,None,None,326.97519170306623,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,3,6,30,1,,,,,,,,,,,,,,,,,0,327.64150184579194,None,None,1,327.64150184579194,None,329.2582123638131,None,329.2582123638131,None,f,1,0.6578415450640023,329.2582123638131,None,None,329.2582123638131,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,3,7,31,0,,,,,,,,,,,,,,,,,0,329.9416293427348,None,None,1,329.9416293427348,None,331.35812155902386,None,331.35812155902386,None,f,1,0.4839633461087942,331.35812155902386,None,None,331.35812155902386,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,4,0,32,6,,,,,,,,,,,,,,,,,0,331.8580456939526,None,None,1,331.8580456939526,None,333.1414405000396,None,333.1414405000396,None,j,1,0.46168634202331305,333.1414405000396,None,None,333.1414405000396,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,,,,,4,1,33,4,,,,,,,,,,,,,,,,,1,333.6250003417954,None,space,1,333.6250003417954,None,335.27514625992626,None,335.27514625992626,None,f,1,0.6675747209228575,335.27514625992626,None,None,335.27514625992626,None,0.48033057525753975,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,4,2,34,2,,,,,,,,,,,,,,,,,0,335.9749586060643,None,None,1,335.9749586060643,None,337.4583134530112,None,337.4583134530112,None,j,1,0.6761860772967339,337.4583134530112,None,None,337.4583134530112,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,4,3,35,6,,,,,,,,,,,,,,,,,0,338.15833029989153,None,None,1,338.15833029989153,None,339.6748720216565,None,339.6748720216565,None,j,1,0.8223083666525781,339.6748720216565,None,None,339.6748720216565,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,4,4,36,5,,,,,,,,,,,,,,,,,1,340.5247896849178,None,space,1,340.5247896849178,None,341.9915665718727,None,341.9915665718727,None,f,1,0.8029292682185769,341.9915665718727,None,None,341.9915665718727,None,1.1989091578871012,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,4,5,37,7,,,,,,,,,,,,,,,,,0,342.8251604209654,None,None,1,342.8251604209654,None,344.45819800999016,None,344.45819800999016,None,j,1,0.8231675392016768,344.45819800999016,None,None,344.45819800999016,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,4,6,38,2,,,,,,,,,,,,,,,,,1,345.30853116698563,None,space,1,345.30853116698563,None,346.6086701238528,None,346.6086701238528,None,j,1,0.7344901915639639,346.6086701238528,None,None,346.6086701238528,None,0.757102174218744,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,4,7,39,7,,,,,,,,,,,,,,,,,0,347.3584937308915,None,None,1,347.3584937308915,None,349.0584000987001,None,349.0584000987001,None,j,1,2.5202919682487845,349.0584000987001,None,None,349.0584000987001,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,5,0,40,6,,,,,,,,,,,,,,,,,1,351.60839188471437,None,space,1,351.60839188471437,None,353.19195271097124,None,353.19195271097124,None,j,1,0.5409967293962836,353.19195271097124,None,None,353.19195271097124,None,0.43777104234322906,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,5,1,41,5,,,,,,,,,,,,,,,,,0,353.7587163290009,None,None,1,353.7587163290009,None,355.2253050478175,None,355.2253050478175,None,f,1,0.6254218341782689,355.2253050478175,None,None,355.2253050478175,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,5,2,42,3,,,,,,,,,,,,,,,,,0,355.8751972769387,None,None,1,355.8751972769387,None,357.3917485717684,None,357.3917485717684,None,j,1,0.5459330417215824,357.3917485717684,None,None,357.3917485717684,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,5,3,43,0,,,,,,,,,,,,,,,,,1,357.95853668870404,None,space,1,357.95853668870404,None,359.69175158487633,None,359.69175158487633,None,f,1,1.1122914250008762,359.69175158487633,None,None,359.69175158487633,None,0.7880273568443954,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,5,4,44,2,,,,,,,,,,,,,,,,,0,360.8251970917918,None,None,1,360.8251970917918,None,362.3251296291128,None,362.3251296291128,None,j,1,0.5727890906855464,362.3251296291128,None,None,362.3251296291128,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,5,5,45,7,,,,,,,,,,,,,,,,,0,362.92535974783823,None,None,1,362.92535974783823,None,364.358467576094,None,364.358467576094,None,j,1,0.48307315073907375,364.358467576094,None,None,364.358467576094,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,5,6,46,0,,,,,,,,,,,,,,,,,1,364.85879829572514,None,space,1,364.85879829572514,None,366.60884046088904,None,366.60884046088904,None,f,1,0.6189218671061099,366.60884046088904,None,None,366.60884046088904,None,0.4979403391480446,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,5,7,47,5,,,,,,,,,,,,,,,,,0,367.2586894989945,None,None,1,367.2586894989945,None,368.7418545940891,None,368.7418545940891,None,j,0,0.8580949790775776,368.7418545940891,None,None,368.7418545940891,None,,,,,,,,1,2,2020_Dec_29_1009,global_local,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.6253719339147,None,369.6253719339147,None,,,,,,,,
