runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,repeats2.thisRepN,repeats2.thisTrialN,repeats2.thisN,repeats2.thisIndex,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,feedback_msg.started,feedback_msg.stopped,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,fixpR2,participant,design,position,date,expName,psychopyVersion,frameRate,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,5,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,1,184.0888618020001,None,space,1,184.0888618020001,None,185.48910851999995,None,185.48910851999995,None,j,0,0.3466796610000529,185.48910851999995,None,None,185.48910851999995,None,0.6442940369997814,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,5,1,41,7,,,,,,,,,,,,,,,,,,,,,,,,,0,185.85550691900016,None,None,1,185.85550691900016,None,187.25581772500004,None,187.25581772500004,None,j,1,0.2668647880000208,187.25581772500004,None,None,187.25581772500004,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,,,,,5,2,42,3,,,,,,,,,,,,,,,,,,,,,,,,,0,187.53856682700007,None,None,1,187.53856682700007,None,189.20599011700006,None,189.20599011700006,None,j,1,0.25211615600005644,189.20599011700006,None,None,189.20599011700006,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,,,,,5,3,43,0,,,,,,,,,,,,,,,,,,,,,,,,,1,189.48897446900014,None,None,0,189.48897446900014,None,190.92253194,None,190.92253194,None,j,0,0.290648216000136,190.92253194,None,None,190.92253194,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,,,,,5,4,44,2,,,,,,,,,,,,,,,,,,,,,,,,,0,191.23882599700005,None,None,1,191.23882599700005,None,192.67252561400005,None,192.67252561400005,None,j,1,0.2730771009998989,192.67252561400005,None,None,192.67252561400005,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,5,5,45,7,,,,,,,,,,,,,,,,,,,,,,,,,0,192.972232825,None,None,1,192.972232825,None,194.70591972800003,None,194.70591972800003,None,j,1,0.1296787650001079,194.70591972800003,None,None,194.70591972800003,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,5,6,46,1,,,,,,,,,,,,,,,,,,,,,,,,,1,194.85556171500002,None,None,0,194.85556171500002,None,196.322377297,None,196.322377297,None,j,0,0.2002141790001133,196.322377297,None,None,196.322377297,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,,,,,,,,,5,7,47,1,,,,,,,,,,,,,,,,,,,,,,,,,1,196.5389625370001,None,None,0,196.5389625370001,None,197.90595104399995,None,197.90595104399995,None,j,0,0.2597329149998586,197.90595104399995,None,None,197.90595104399995,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.02228652500003,None,j,1,0.9033976979999352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.753769709999915,None,1,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
