runID,imgID,stimLabel,imFile,corr,side,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,text_7.started,text_7.stopped,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,image_4.started,image_4.stopped,fixpR2,participant,design,position,date,expName,psychopyVersion,frameRate,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,3,5,29,7,,,,,,,,,,,,,,,,,,,,,,,0,161.67861995496787,None,None,161.67861995496787,None,163.17862202203833,None,163.17862202203833,None,f,0,0.5072856231126934,163.17862202203833,None,None,163.17862202203833,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,3,6,30,3,,,,,,,,,,,,,,,,,,,,,,,0,163.71198294695932,None,None,163.71198294695932,None,165.17911568004638,None,165.17911568004638,None,j,1,1.767157380003482,165.17911568004638,None,None,165.17911568004638,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,3,7,31,4,,,,,,,,,,,,,,,,,,,,,,,0,166.9786442919867,None,None,166.9786442919867,None,168.56203095498495,None,168.56203095498495,None,f,1,1.1087503529852256,168.56203095498495,None,None,168.56203095498495,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,4,0,32,0,,,,,,,,,,,,,,,,,,,,,,,0,169.69544407504145,None,None,169.69544407504145,None,171.26239454804454,None,171.26239454804454,None,f,1,1.0554863619618118,171.26239454804454,None,None,171.26239454804454,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,4,1,33,6,,,,,,,,,,,,,,,,,,,,,,,0,172.34529368695803,None,None,172.34529368695803,None,173.6118578580208,None,173.6118578580208,None,j,1,0.5301470319973305,173.6118578580208,None,None,173.6118578580208,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,4,2,34,5,,,,,,,,,,,,,,,,,,,,,,,0,174.162059289054,None,None,174.162059289054,None,175.44540938397404,None,175.44540938397404,None,f,1,0.5360232379753143,175.44540938397404,None,None,175.44540938397404,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,4,3,35,0,,,,,,,,,,,,,,,,,,,,,,,0,176.0122242589714,None,None,176.0122242589714,None,177.56234259705525,None,177.56234259705525,None,f,1,0.4818323759827763,177.56234259705525,None,None,177.56234259705525,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,4,4,36,7,,,,,,,,,,,,,,,,,,,,,,,0,178.06246417597868,None,None,178.06246417597868,None,179.66225775296334,None,179.66225775296334,None,j,1,0.4067553309723735,179.66225775296334,None,None,179.66225775296334,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,4,5,37,3,,,,,,,,,,,,,,,,,,,,,,,0,180.09542494104244,None,None,180.09542494104244,None,181.62882042198908,None,181.62882042198908,None,j,1,0.7659919739235193,181.62882042198908,None,None,181.62882042198908,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,4,6,38,5,,,,,,,,,,,,,,,,,,,,,,,0,182.41225876600947,None,None,182.41225876600947,None,183.69545990100596,None,183.69545990100596,None,f,1,0.31748364900704473,183.69545990100596,None,None,183.69545990100596,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,4,7,39,2,,,,,,,,,,,,,,,,,,,,,,,1,184.04539514204953,None,space,184.04539514204953,None,185.67882894200739,None,185.67882894200739,None,f,0,0.7364754111040384,185.67882894200739,None,None,185.67882894200739,None,0.7683838660595939,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,5,0,40,0,,,,,,,,,,,,,,,,,,,,,,,0,186.44541268702596,None,None,186.44541268702596,None,187.9787015139591,None,187.9787015139591,None,j,0,0.6233711470849812,187.9787015139591,None,None,187.9787015139591,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,5,1,41,5,,,,,,,,,,,,,,,,,,,,,,,0,188.62878511904273,None,None,188.62878511904273,None,190.3288430820685,None,190.3288430820685,None,j,0,0.045665423036552966,190.3288430820685,None,None,190.3288430820685,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,,,,,5,2,42,3,,,,,,,,,,,,,,,,,,,,,,,0,190.3954348390689,None,None,190.3954348390689,None,192.11222627502866,None,192.11222627502866,None,j,1,0.11997908097691834,192.11222627502866,None,None,192.11222627502866,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,5,3,43,5,,,,,,,,,,,,,,,,,,,,,,,0,192.26239797996823,None,None,192.26239797996823,None,193.79550613299944,None,193.79550613299944,None,f,1,0.07594396406784654,193.79550613299944,None,None,193.79550613299944,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,,,,,5,4,44,2,,,,,,,,,,,,,,,,,,,,,,,0,193.89548554900102,None,None,193.89548554900102,None,195.52886313700583,None,195.52886313700583,None,j,1,0.13023041689302772,195.52886313700583,None,None,195.52886313700583,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,,,,,5,5,45,4,,,,,,,,,,,,,,,,,,,,,,,0,195.67913134000264,None,None,195.67913134000264,None,197.04577749304008,None,197.04577749304008,None,f,1,0.5913722920231521,197.04577749304008,None,None,197.04577749304008,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,,,,,5,6,46,0,,,,,,,,,,,,,,,,,,,,,,,0,197.66252999799326,None,None,197.66252999799326,None,199.0289683380397,None,199.0289683380397,None,f,1,0.8574523210991174,199.0289683380397,None,None,199.0289683380397,None,,,,,,1,2,2020_Nov_07_1843,global_local,2020.2.4,60.13964124961991,
